Class_id;Class_name;Vsl;Vsg;ID;Roughness;Ang;Density_L;Density_G;Visc_L;Visc_G;ST;P;T
2;SS;0.0294273;0.0872316;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0577722;0.0867426;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.119709;0.0862563;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.210969;0.0846947;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.361904;0.0850765;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0286438;0.140865;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0593523;0.140115;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.119709;0.136155;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.205353;0.135201;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0294273;0.243623;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0577722;0.242189;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.113419;0.235411;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.205353;0.233828;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0294273;0.456482;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.604296;0.0894162;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.905798;0.0867182;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.361904;0.137424;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.604296;0.138004;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.881683;0.136884;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.352269;0.229595;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.588208;0.238608;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.905798;0.239482;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.39486;0.243076;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0577722;0.448596;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.119709;0.436163;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.210969;0.443207;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.361904;0.440227;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.604296;0.447086;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0294273;0.926396;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0609756;0.900467;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.119709;0.884911;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.205353;0.888899;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.361904;0.863291;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.620824;0.876987;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.0577722;1.76484;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.122983;1.73581;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.210969;1.74363;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.361904;1.73142;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.588208;1.7584;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.905798;1.76484;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.32158;1.57938;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;2.0908;1.60308;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.905798;0.869623;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.39486;0.872561;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.35773;0.43998;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;2.0908;2.80542;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.39486;2.8927;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.905798;2.84993;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.588208;2.77562;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.361904;2.96098;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.205353;2.6896;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.119709;2.86761;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.352269;5.35801;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.604296;5.08366;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.881683;5.09941;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.43301;5.29811;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;2.14798;5.69179;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;1.35773;10.8706;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
5;I;0.930572;10.236;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;1.81616;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;2.96681;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;5.18905;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;9.29004;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0294273;14.4962;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.0286438;18.6322;0.0258;0;0;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
