sensor1, sensor2, sensor3, sensor4, sensor5, sensor6, sensor7, sensor8, junosYHeight, obstacleXDistance, timeInmsec
738, 772, 777, 777, 777, 771, 773, 775, 483, 1235, 273
738, 772, 777, 777, 777, 771, 773, 775, 483, 1210, 392
738, 772, 777, 777, 777, 771, 773, 775, 483, 1190, 515
738, 772, 777, 777, 777, 771, 773, 775, 483, 1170, 616
738, 772, 777, 777, 777, 771, 773, 775, 483, 1140, 755
738, 772, 777, 777, 777, 771, 773, 775, 483, 1115, 874
738, 772, 777, 777, 777, 771, 773, 775, 483, 1085, 991
738, 772, 777, 777, 777, 771, 773, 775, 483, 1035, 1172
738, 772, 777, 777, 777, 771, 773, 775, 483, 1005, 1291
738, 772, 777, 777, 777, 771, 772, 775, 483, 970, 1413
738, 772, 777, 777, 776, 771, 772, 775, 483, 940, 1532
738, 772, 777, 777, 777, 771, 773, 775, 483, 905, 1653
738, 772, 778, 777, 777, 771, 773, 775, 483, 875, 1774
738, 773, 779, 778, 778, 772, 773, 776, 483, 840, 1893
738, 775, 788, 783, 783, 775, 774, 777, 483, 805, 2034
738, 780, 803, 789, 786, 776, 776, 779, 431, 780, 2136
738, 781, 805, 789, 787, 776, 776, 779, 352, 755, 2257
738, 782, 808, 790, 787, 776, 776, 779, 244, 725, 2381
738, 781, 808, 790, 787, 776, 776, 779, 130, 695, 2494
738, 780, 807, 789, 786, 775, 775, 778, 130, 670, 2612
738, 779, 804, 788, 785, 775, 775, 778, 130, 635, 2733
738, 779, 802, 788, 785, 775, 775, 778, 130, 605, 2850
738, 778, 801, 787, 784, 774, 775, 778, 130, 570, 2974
738, 778, 799, 786, 784, 774, 775, 778, 130, 535, 3093
738, 778, 798, 786, 783, 774, 775, 778, 130, 505, 3212
738, 778, 798, 786, 783, 774, 774, 778, 130, 470, 3332
738, 777, 797, 786, 783, 774, 775, 778, 130, 435, 3453
738, 777, 796, 785, 783, 773, 775, 778, 130, 405, 3573
738, 777, 795, 785, 782, 773, 775, 777, 130, 370, 3696
738, 777, 794, 785, 782, 773, 775, 778, 130, 340, 3811
738, 776, 793, 785, 782, 773, 775, 778, 130, 305, 3932
738, 776, 792, 784, 782, 773, 774, 778, 130, 270, 4053
738, 776, 792, 784, 781, 773, 774, 778, 130, 240, 4171
738, 776, 791, 784, 781, 773, 774, 778, 130, 205, 4294
738, 774, 790, 784, 781, 773, 774, 778, 159, 170, 4412
738, 774, 787, 782, 780, 773, 774, 777, 216, 135, 4533
738, 772, 783, 780, 779, 772, 774, 777, 315, 100, 4654
738, 772, 780, 778, 777, 772, 774, 777, 420, 65, 4771
738, 772, 779, 777, 777, 772, 774, 776, 483, 30, 4897
738, 772, 778, 776, 776, 771, 774, 776, 483, -20, 5073
738, 772, 777, 775, 775, 771, 773, 775, 483, -50, 5194
738, 772, 776, 775, 775, 772, 773, 775, 483, -105, 5375
738, 772, 776, 775, 775, 772, 773, 775, 483, -140, 5493
738, 772, 776, 775, 775, 772, 773, 775, 483, -175, 5613
738, 772, 776, 775, 776, 772, 773, 775, 483, -210, 5735
738, 772, 776, 775, 776, 772, 773, 775, 483, 1505, 5855
738, 772, 776, 775, 776, 772, 773, 775, 483, 1470, 5972
738, 772, 776, 775, 776, 772, 773, 775, 483, 1440, 6092
738, 772, 776, 775, 776, 772, 773, 775, 483, 1405, 6216
738, 772, 777, 776, 776, 772, 773, 775, 483, 1370, 6333
738, 772, 777, 776, 776, 772, 773, 775, 483, 1335, 6453
738, 772, 777, 776, 776, 772, 773, 775, 483, 1300, 6574
738, 772, 777, 776, 776, 772, 773, 776, 483, 1265, 6693
