sensor1, sensor2, sensor3, sensor4, sensor5, sensor6, sensor7, sensor8, junosYHeight, obstacleXDistance, timeInmsec
738, 783, 798, 807, 801, 791, 789, 789, 483, 1265, 118
738, 783, 788, 785, 777, 772, 774, 775, 483, 1240, 259
738, 783, 788, 785, 777, 772, 774, 775, 483, 1215, 379
738, 782, 788, 785, 777, 772, 774, 775, 483, 1190, 499
738, 783, 788, 785, 777, 772, 774, 775, 483, 1170, 600
738, 783, 788, 785, 777, 772, 774, 775, 483, 1140, 740
738, 783, 788, 785, 777, 772, 774, 775, 483, 1120, 858
738, 783, 788, 785, 776, 772, 774, 775, 483, 1090, 977
738, 782, 788, 785, 776, 772, 774, 775, 483, 1060, 1098
738, 782, 788, 785, 776, 772, 774, 775, 483, 1030, 1217
738, 782, 788, 785, 776, 772, 774, 775, 483, 1005, 1339
738, 782, 788, 785, 776, 772, 774, 775, 483, 975, 1458
738, 782, 788, 785, 777, 772, 774, 775, 483, 945, 1577
738, 782, 788, 785, 777, 772, 774, 775, 483, 915, 1704
738, 782, 788, 785, 777, 772, 774, 775, 483, 890, 1816
738, 782, 788, 786, 777, 772, 774, 775, 483, 860, 1939
738, 782, 788, 786, 777, 772, 775, 775, 483, 830, 2064
738, 782, 788, 786, 777, 772, 775, 775, 483, 805, 2180
738, 782, 788, 786, 777, 772, 775, 775, 483, 780, 2300
739, 784, 789, 786, 777, 773, 775, 775, 483, 755, 2416
741, 797, 794, 790, 779, 773, 775, 776, 483, 725, 2538
741, 810, 806, 798, 782, 773, 776, 777, 483, 700, 2658
741, 814, 816, 806, 783, 773, 776, 777, 458, 675, 2778
741, 812, 821, 810, 783, 773, 776, 777, 392, 645, 2898
741, 810, 823, 811, 783, 773, 776, 777, 310, 615, 3018
740, 809, 823, 810, 783, 773, 776, 777, 226, 585, 3138
740, 806, 822, 809, 782, 773, 776, 777, 144, 555, 3259
740, 805, 821, 808, 782, 773, 776, 777, 131, 530, 3376
740, 804, 820, 808, 781, 773, 776, 777, 131, 500, 3498
740, 802, 819, 806, 781, 773, 775, 777, 131, 470, 3617
740, 802, 817, 804, 781, 773, 775, 777, 131, 440, 3737
740, 802, 817, 804, 781, 773, 775, 777, 131, 410, 3860
739, 801, 817, 803, 780, 772, 775, 777, 131, 380, 3980
739, 801, 815, 802, 780, 773, 775, 777, 131, 355, 4097
739, 800, 814, 802, 780, 773, 775, 777, 131, 325, 4218
739, 800, 814, 801, 780, 772, 775, 777, 131, 295, 4337
739, 800, 813, 801, 780, 772, 775, 777, 131, 265, 4460
739, 800, 813, 800, 779, 772, 775, 777, 181, 235, 4580
739, 800, 812, 800, 779, 772, 775, 777, 223, 205, 4699
739, 800, 812, 800, 779, 772, 775, 777, 258, 180, 4816
739, 799, 811, 799, 779, 772, 775, 777, 305, 150, 4938
739, 799, 811, 799, 779, 772, 775, 777, 355, 120, 5059
739, 799, 810, 799, 779, 773, 775, 777, 400, 95, 5180
739, 798, 810, 799, 779, 773, 775, 777, 454, 65, 5300
739, 797, 808, 798, 779, 772, 775, 776, 483, 35, 5417
739, 797, 807, 797, 779, 772, 775, 776, 483, 5, 5537
738, 794, 805, 796, 778, 772, 775, 776, 483, -25, 5658
737, 790, 801, 793, 777, 772, 775, 776, 483, -55, 5778
737, 786, 796, 790, 776, 772, 774, 775, 483, -85, 5902
737, 785, 793, 788, 776, 772, 774, 775, 483, -110, 6018
738, 784, 791, 787, 776, 772, 774, 775, 483, -140, 6138
738, 784, 790, 786, 776, 772, 774, 775, 483, -170, 6256
738, 784, 789, 786, 776, 772, 774, 775, 483, -200, 6380
738, 784, 788, 785, 776, 772, 774, 775, 483, 1525, 6500
738, 784, 788, 785, 776, 772, 774, 775, 483, 1495, 6618
738, 783, 787, 785, 776, 772, 774, 775, 483, 1465, 6738
738, 783, 787, 785, 776, 772, 774, 775, 483, 1435, 6856
738, 783, 787, 784, 776, 772, 774, 775, 483, 1405, 6978
738, 782, 786, 784, 776, 772, 774, 775, 483, 1375, 7098
738, 782, 786, 784, 776, 772, 774, 775, 483, 1345, 7220
738, 782, 786, 784, 776, 772, 774, 775, 483, 1315, 7338
738, 782, 786, 784, 776, 772, 775, 775, 483, 1285, 7459
738, 782, 786, 784, 776, 772, 775, 775, 483, 1260, 7577
738, 781, 786, 784, 777, 773, 775, 775, 483, 1230, 7697
738, 781, 786, 784, 777, 773, 775, 776, 483, 1200, 7820
738, 781, 786, 784, 777, 773, 775, 776, 483, 1175, 7938
738, 781, 785, 784, 777, 773, 775, 776, 483, 1145, 8059
738, 781, 785, 784, 777, 773, 775, 776, 483, 1115, 8178
738, 782, 785, 784, 777, 773, 775, 776, 483, 1085, 8298
738, 782, 785, 784, 777, 773, 775, 775, 483, 1055, 8422
738, 782, 785, 784, 777, 773, 775, 775, 483, 1025, 8540
738, 782, 785, 784, 777, 773, 775, 775, 483, 995, 8658
738, 782, 785, 784, 777, 772, 775, 775, 483, 965, 8779
738, 782, 785, 784, 777, 772, 775, 775, 483, 935, 8897
738, 782, 785, 784, 777, 772, 775, 775, 483, 905, 9019
738, 782, 785, 784, 776, 772, 775, 775, 483, 875, 9139
738, 782, 785, 783, 776, 772, 774, 775, 483, 850, 9258
738, 782, 785, 783, 776, 772, 774, 775, 483, 820, 9378
738, 782, 785, 784, 776, 772, 774, 775, 483, 790, 9497
738, 782, 785, 784, 776, 772, 774, 775, 483, 760, 9617
738, 782, 785, 784, 776, 772, 774, 775, 483, 730, 9738
739, 785, 786, 784, 776, 772, 774, 775, 483, 700, 9857
741, 801, 794, 788, 779, 772, 775, 776, 483, 675, 9978
741, 812, 808, 798, 781, 772, 776, 777, 483, 645, 10097
741, 811, 816, 804, 782, 772, 776, 777, 434, 615, 10218
740, 809, 819, 806, 782, 772, 776, 777, 367, 585, 10339
740, 808, 820, 807, 781, 772, 776, 777, 295, 555, 10458
740, 806, 820, 807, 781, 772, 775, 777, 235, 530, 10579
740, 804, 819, 806, 781, 772, 775, 777, 165, 500, 10698
739, 802, 817, 804, 780, 772, 775, 777, 143, 470, 10818
739, 801, 815, 802, 780, 772, 775, 776, 143, 440, 10939
739, 801, 815, 802, 780, 772, 775, 776, 143, 410, 11057
739, 801, 814, 801, 780, 772, 775, 776, 143, 385, 11178
739, 800, 813, 801, 779, 772, 775, 776, 143, 355, 11298
739, 801, 813, 801, 780, 772, 775, 776, 148, 325, 11418
739, 800, 813, 801, 779, 772, 775, 776, 169, 295, 11539
739, 800, 811, 799, 779, 772, 775, 776, 208, 270, 11658
739, 799, 810, 799, 779, 772, 775, 776, 260, 240, 11780
739, 799, 810, 799, 779, 772, 775, 776, 314, 210, 11898
739, 799, 810, 798, 779, 772, 775, 776, 368, 180, 12018
739, 799, 810, 798, 779, 772, 775, 776, 413, 155, 12138
739, 798, 809, 798, 779, 772, 775, 776, 469, 125, 12258
739, 796, 808, 797, 779, 772, 775, 776, 483, 95, 12377
737, 793, 804, 795, 778, 772, 774, 776, 483, 65, 12497
737, 790, 799, 791, 777, 772, 774, 776, 483, 40, 12618
737, 788, 795, 789, 776, 772, 774, 775, 483, 10, 12741
737, 787, 792, 787, 776, 772, 774, 775, 483, -20, 12857
738, 786, 791, 787, 776, 772, 774, 775, 483, -50, 12978
738, 785, 790, 786, 776, 772, 774, 775, 483, -80, 13097
738, 784, 789, 786, 776, 772, 774, 775, 483, -110, 13218
738, 784, 788, 785, 776, 772, 774, 775, 483, -135, 13337
738, 783, 788, 785, 776, 772, 774, 775, 483, -165, 13458
738, 783, 787, 785, 776, 772, 774, 775, 483, -195, 13576
738, 783, 787, 785, 776, 772, 774, 775, 483, 1525, 13696
738, 782, 787, 785, 776, 772, 775, 775, 483, 1495, 13816
738, 782, 787, 785, 776, 772, 775, 775, 483, 1460, 13944
738, 782, 787, 785, 777, 773, 775, 775, 483, 1430, 14059
738, 782, 787, 785, 777, 773, 775, 775, 483, 1405, 14178
738, 782, 787, 785, 777, 773, 775, 775, 483, 1375, 14298
738, 782, 786, 785, 777, 773, 775, 775, 483, 1345, 14420
738, 782, 786, 785, 777, 773, 775, 776, 483, 1315, 14540
738, 782, 786, 785, 777, 773, 775, 776, 483, 1285, 14658
738, 782, 786, 785, 777, 773, 775, 776, 483, 1260, 14776
738, 782, 786, 785, 777, 773, 775, 776, 483, 1230, 14897
738, 782, 786, 785, 777, 773, 775, 776, 483, 1200, 15017
738, 782, 786, 785, 777, 772, 775, 775, 483, 1170, 15140
738, 782, 786, 785, 777, 772, 775, 775, 483, 1140, 15259
738, 782, 786, 784, 777, 772, 775, 775, 483, 1110, 15379
738, 782, 786, 784, 777, 772, 775, 775, 483, 1080, 15497
738, 782, 786, 784, 777, 772, 775, 775, 483, 1050, 15618
738, 782, 786, 784, 777, 772, 775, 775, 483, 1020, 15740
738, 783, 786, 784, 777, 772, 774, 775, 483, 995, 15859
738, 783, 785, 784, 776, 772, 774, 775, 483, 965, 15977
738, 783, 785, 784, 776, 772, 774, 775, 483, 935, 16098
738, 783, 785, 784, 776, 772, 774, 775, 483, 905, 16217
738, 783, 785, 783, 776, 772, 774, 775, 483, 875, 16337
738, 783, 785, 783, 776, 772, 774, 775, 483, 845, 16460
738, 783, 785, 783, 776, 772, 774, 775, 483, 815, 16579
738, 783, 785, 784, 776, 772, 774, 775, 483, 785, 16699
738, 783, 785, 784, 776, 772, 774, 775, 483, 760, 16816
739, 788, 787, 784, 777, 772, 774, 775, 483, 730, 16938
